"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 28 18:01:51 GMT 2024","Wed Feb 28 18:02:18 GMT 2024","26303","","","","","","Validar login na aplicação",""
"passed","Wed Feb 28 18:01:51 GMT 2024","Wed Feb 28 18:02:17 GMT 2024","26200","","Login","","Validar login na aplicação","","Validar login na aplicação",""
