"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 27 20:28:58 GMT 2024","Tue Feb 27 20:29:30 GMT 2024","31902","","Login","","Validar login na aplicação","","Validar login na aplicação",""
"passed","Tue Feb 27 20:28:58 GMT 2024","Tue Feb 27 20:29:30 GMT 2024","32009","","","","","","Validar login na aplicação",""
